mode,question_id,evidence_id,score
vector,Q01,chunk:GSE111619_HTSeq_counts.txt:756:039879213880,0.5431384115
vector,Q01,chunk:GSE111619_family.soft:33:887d9b8483f9,0.5423336352
vector,Q01,chunk:GSE111619_series_matrix.txt:24:0a2f3ebf264b,0.5400435058
vector,Q01,chunk:GSE111619_family.soft:11:2434caed467b,0.5389999162
vector,Q01,chunk:GSE111619_family.soft:27:0811d4a4f618,0.5389169257
vector,Q01,chunk:GSE111619_HTSeq_counts.txt:526:93f13343db83,0.5383361383
vector,Q01,chunk:GSE111619_HTSeq_counts.txt:824:e1a36538002a,0.5378879969
vector,Q01,chunk:GSE111619_HTSeq_counts.txt:295:260f02e96e2a,0.5359196899
vector,Q01,chunk:GSE111619_HTSeq_counts.txt:689:db5f4e8fe2ad,0.5356490379
vector,Q01,chunk:GSE111619_HTSeq_counts.txt:749:2b3a0018a2de,0.5341366257
vector,Q01,chunk:GSE111619_series_matrix.txt:27:426a10e70046,0.5326727643
vector,Q01,chunk:GSE111619_HTSeq_counts.txt:33:b1add906404f,0.5324644839
hybrid_rag,Q01,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,0.0315136476
hybrid_rag,Q01,chunk:GSE111619_family.soft:12:70d15f8f2b25,0.0312576313
hybrid_rag,Q01,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.0306791569
hybrid_rag,Q01,chunk:GSE111619_family.soft:20:9af496ac6e9a,0.0296312555
hybrid_rag,Q01,chunk:GSE111619_family.soft:4:00eb8f492584,0.0294181268
hybrid_rag,Q01,chunk:GSE111619_family.soft:27:0811d4a4f618,0.0288501453
hybrid_rag,Q01,chunk:GSE111619_family.soft:0:80d433564abe,0.0163934426
hybrid_rag,Q01,chunk:GSE111619_family.soft:19:babb5501a21a,0.0161290323
hybrid_rag,Q01,chunk:GSE111619_family.soft:3:d5c4e36fc6d1,0.0158730159
hybrid_rag,Q01,chunk:GSE111619_family.soft:26:daada7b1edf2,0.015625
hybrid_rag,Q01,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,0.015625
hybrid_rag,Q01,chunk:GSE111619_series_matrix.txt:23:07049a428c04,0.0151515152
hybrid_rag,Q01,chunk:GSE111619_family.soft:5:5769fda80faf,0.0147058824
hybrid_rag,Q01,chunk:GSE111619_HTSeq_counts.txt:756:039879213880,0.0144927536
hybrid_rag,Q01,chunk:GSE111619_family.soft:33:887d9b8483f9,0.0142857143
hybrid_rag,Q01,chunk:GSE111619_series_matrix.txt:24:0a2f3ebf264b,0.014084507
hybrid_rag,Q01,chunk:GSE111619_series_matrix.txt:4:d2206f015b53,0.014084507
hybrid_rag,Q01,chunk:GSE111619_family.soft:11:2434caed467b,0.0138888889
hybrid_rag,Q01,chunk:gse111619_samples.csv:0:a333971634bd,0.0138888889
hybrid_rag,Q01,chunk:GSE111619_family.soft:28:42d7ef4e1753,0.0136986301
graph_enhanced_rag,Q01,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,0.0163934426
graph_enhanced_rag,Q01,graph:406cf8c7e523f5aa,0.0163934426
graph_enhanced_rag,Q01,chunk:GSE111619_family.soft:12:70d15f8f2b25,0.0161290323
graph_enhanced_rag,Q01,graph:a847410fb3009181,0.0161290323
graph_enhanced_rag,Q01,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.0158730159
graph_enhanced_rag,Q01,graph:47b1b8b3d0266a3c,0.0158730159
graph_enhanced_rag,Q01,chunk:GSE111619_family.soft:20:9af496ac6e9a,0.015625
graph_enhanced_rag,Q01,graph:5f7ea604febb27d1,0.015625
graph_enhanced_rag,Q01,chunk:GSE111619_family.soft:4:00eb8f492584,0.0153846154
graph_enhanced_rag,Q01,graph:3ba039e109483e6d,0.0153846154
graph_enhanced_rag,Q01,chunk:GSE111619_family.soft:27:0811d4a4f618,0.0151515152
graph_enhanced_rag,Q01,graph:203299d356921bf6,0.0151515152
graph_enhanced_rag,Q01,chunk:GSE111619_family.soft:0:80d433564abe,0.0149253731
graph_enhanced_rag,Q01,graph:73b34ad728b25bdc,0.0149253731
graph_enhanced_rag,Q01,chunk:GSE111619_family.soft:19:babb5501a21a,0.0147058824
graph_enhanced_rag,Q01,graph:cc289604064df6e5,0.0147058824
graph_enhanced_rag,Q01,chunk:GSE111619_family.soft:3:d5c4e36fc6d1,0.0144927536
graph_enhanced_rag,Q01,graph:bc1394d09b3e630c,0.0144927536
graph_enhanced_rag,Q01,chunk:GSE111619_family.soft:26:daada7b1edf2,0.0142857143
graph_enhanced_rag,Q01,graph:7ee3d4b23271df52,0.0142857143
bm25,Q02,chunk:gse111619_samples.csv:1:30b170a15a22,8.848275482
bm25,Q02,chunk:gse111619_samples.csv:2:cbce0fc285fd,8.7367829137
bm25,Q02,chunk:GSE111619_series_matrix.txt:6:3a35853469b8,7.1992040172
bm25,Q02,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,5.2443887767
bm25,Q02,chunk:GSE111619_family.soft:29:a3b5fcce1e2e,5.0942518849
bm25,Q02,chunk:GSE111619_family.soft:21:341003aa6ae0,5.0508728156
bm25,Q02,chunk:GSE111619_family.soft:28:42d7ef4e1753,4.9801931076
bm25,Q02,chunk:GSE111619_family.soft:0:80d433564abe,4.9387268756
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:100:23364a304d84,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:101:974f8ca28a15,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:102:831020591730,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:103:959629736e1e,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:104:6b75d48d1c61,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:105:997661cff060,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:106:5f435dce7fb9,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:107:6725ce509a4b,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:108:0222e68a7445,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:109:5df818b68ff2,0.0
bm25,Q02,chunk:GSE111619_HTSeq_counts.txt:10:7e57f496cf19,0.0
vector,Q02,chunk:GSE111619_series_matrix.txt:26:683a178072a1,0.4776277017
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:755:ed54669f9634,0.4589746974
vector,Q02,chunk:GSE111619_series_matrix.txt:27:426a10e70046,0.4564440007
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:756:039879213880,0.4556340459
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:85:dbb00248661e,0.4545386741
vector,Q02,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.449577241
vector,Q02,chunk:GSE111619_family.soft:12:70d15f8f2b25,0.4397206376
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:333:05cce2562999,0.4380217169
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:352:c559748d9916,0.4377081575
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:557:c31adbac1664,0.436105422
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:297:a870ed187c2a,0.4349820209
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:415:0aaaa5b66748,0.4328669719
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:754:9f571fe8fdcc,0.4327836274
vector,Q02,chunk:GSE111619_series_matrix.txt:11:42185f999634,0.4322423715
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:183:f8805a69d8da,0.431053834
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:777:ab4a1c6e5bb4,0.4308571857
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:302:49032307e503,0.4308146253
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:294:e4f5bc6a99b9,0.4305017411
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:757:3473cc00306a,0.4304304803
vector,Q02,chunk:GSE111619_HTSeq_counts.txt:351:c9a301a1cc5f,0.4294557898
hybrid_rag,Q02,chunk:GSE111619_series_matrix.txt:26:683a178072a1,0.0163934426
hybrid_rag,Q02,chunk:gse111619_samples.csv:1:30b170a15a22,0.0163934426
hybrid_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:755:ed54669f9634,0.0161290323
hybrid_rag,Q02,chunk:gse111619_samples.csv:2:cbce0fc285fd,0.0161290323
hybrid_rag,Q02,chunk:GSE111619_series_matrix.txt:27:426a10e70046,0.0158730159
hybrid_rag,Q02,chunk:GSE111619_series_matrix.txt:6:3a35853469b8,0.0158730159
hybrid_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:756:039879213880,0.015625
hybrid_rag,Q02,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,0.015625
hybrid_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:85:dbb00248661e,0.0153846154
hybrid_rag,Q02,chunk:GSE111619_family.soft:29:a3b5fcce1e2e,0.0153846154
hybrid_rag,Q02,chunk:GSE111619_family.soft:21:341003aa6ae0,0.0151515152
hybrid_rag,Q02,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.0151515152
hybrid_rag,Q02,chunk:GSE111619_family.soft:12:70d15f8f2b25,0.0149253731
hybrid_rag,Q02,chunk:GSE111619_family.soft:28:42d7ef4e1753,0.0149253731
hybrid_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:333:05cce2562999,0.0147058824
hybrid_rag,Q02,chunk:GSE111619_family.soft:0:80d433564abe,0.0147058824
hybrid_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,0.0144927536
hybrid_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:352:c559748d9916,0.0144927536
hybrid_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:100:23364a304d84,0.0142857143
hybrid_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:557:c31adbac1664,0.0142857143
graph_enhanced_rag,Q02,chunk:GSE111619_series_matrix.txt:26:683a178072a1,0.0163934426
graph_enhanced_rag,Q02,graph:a7dbb9eadcc7afc7,0.0163934426
graph_enhanced_rag,Q02,chunk:gse111619_samples.csv:1:30b170a15a22,0.0161290323
graph_enhanced_rag,Q02,graph:d5cbf670d0232597,0.0161290323
graph_enhanced_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:755:ed54669f9634,0.0158730159
graph_enhanced_rag,Q02,graph:c3902ae5e67d44e3,0.0158730159
graph_enhanced_rag,Q02,chunk:gse111619_samples.csv:2:cbce0fc285fd,0.015625
graph_enhanced_rag,Q02,graph:8ad0c378c2247fd7,0.015625
graph_enhanced_rag,Q02,chunk:GSE111619_series_matrix.txt:27:426a10e70046,0.0153846154
graph_enhanced_rag,Q02,graph:bc1394d09b3e630c,0.0153846154
graph_enhanced_rag,Q02,chunk:GSE111619_series_matrix.txt:6:3a35853469b8,0.0151515152
graph_enhanced_rag,Q02,graph:7ee3d4b23271df52,0.0151515152
graph_enhanced_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:756:039879213880,0.0149253731
graph_enhanced_rag,Q02,graph:ec389dd0116f9a8b,0.0149253731
graph_enhanced_rag,Q02,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,0.0147058824
graph_enhanced_rag,Q02,graph:020ed251d28bfa65,0.0147058824
graph_enhanced_rag,Q02,chunk:GSE111619_HTSeq_counts.txt:85:dbb00248661e,0.0144927536
graph_enhanced_rag,Q02,graph:c7edb151efb22a2e,0.0144927536
graph_enhanced_rag,Q02,chunk:GSE111619_family.soft:29:a3b5fcce1e2e,0.0142857143
graph_enhanced_rag,Q02,graph:811ae88d7cb7c42b,0.0142857143
bm25,Q03,chunk:GSE111619_series_matrix.txt:6:3a35853469b8,8.5566898579
bm25,Q03,chunk:GSE111619_series_matrix.txt:5:fabd5ef57162,7.1956444968
bm25,Q03,chunk:GSE111619_family.soft:1:7117dcfa4f31,5.1140238661
bm25,Q03,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,5.0085201403
bm25,Q03,chunk:gse111619_samples.csv:0:a333971634bd,4.9501639967
bm25,Q03,chunk:GSE111619_family.soft:6:762f7f70cff7,4.9214929182
bm25,Q03,chunk:GSE111619_family.soft:21:341003aa6ae0,4.8237076426
bm25,Q03,chunk:GSE111619_family.soft:28:42d7ef4e1753,4.7562067848
bm25,Q03,chunk:GSE111619_family.soft:5:5769fda80faf,4.7562067848
bm25,Q03,chunk:GSE111619_family.soft:13:fe8aa2f0ef20,4.7035512316
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,0.0
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:100:23364a304d84,0.0
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:101:974f8ca28a15,0.0
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:102:831020591730,0.0
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:103:959629736e1e,0.0
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:104:6b75d48d1c61,0.0
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:105:997661cff060,0.0
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:106:5f435dce7fb9,0.0
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:107:6725ce509a4b,0.0
bm25,Q03,chunk:GSE111619_HTSeq_counts.txt:108:0222e68a7445,0.0
vector,Q03,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.4378807872
vector,Q03,chunk:GSE111619_family.soft:0:80d433564abe,0.4370114413
vector,Q03,chunk:GSE111619_series_matrix.txt:27:426a10e70046,0.4340477861
vector,Q03,chunk:GSE111619_series_matrix.txt:26:683a178072a1,0.4340273118
vector,Q03,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,0.4331233866
vector,Q03,chunk:GSE111619_family.soft:2:012548a6835c,0.4253201638
vector,Q03,chunk:GSE111619_family.soft:33:887d9b8483f9,0.4187580143
vector,Q03,chunk:GSE111619_family.soft:9:318baf214f1d,0.4172094403
vector,Q03,chunk:GSE111619_family.soft:7:e44acfaf8b21,0.4165664855
vector,Q03,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,0.4155426006
vector,Q03,chunk:GSE111619_family.soft:4:00eb8f492584,0.4154112426
vector,Q03,chunk:GSE111619_family.soft:15:044bb04e836b,0.4153856403
vector,Q03,chunk:GSE111619_series_matrix.txt:11:42185f999634,0.4126091988
vector,Q03,chunk:GSE111619_family.soft:22:259d8e7436e6,0.4107141126
vector,Q03,chunk:GSE111619_series_matrix.txt:8:a580f6b5c68c,0.4105571833
vector,Q03,chunk:GSE111619_series_matrix.txt:21:f1c4916c4d2a,0.4094312107
vector,Q03,chunk:GSE111619_family.soft:19:babb5501a21a,0.4087487064
vector,Q03,chunk:GSE111619_family.soft:18:fa685cb8fd2e,0.4084659527
vector,Q03,chunk:GSE111619_family.soft:30:1c156c11568c,0.4064148849
vector,Q03,chunk:GSE111619_family.soft:32:fa5e23883aa9,0.4049713014
hybrid_rag,Q03,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,0.0310096154
hybrid_rag,Q03,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.0163934426
hybrid_rag,Q03,chunk:GSE111619_series_matrix.txt:6:3a35853469b8,0.0163934426
hybrid_rag,Q03,chunk:GSE111619_family.soft:0:80d433564abe,0.0161290323
hybrid_rag,Q03,chunk:GSE111619_series_matrix.txt:5:fabd5ef57162,0.0161290323
hybrid_rag,Q03,chunk:GSE111619_family.soft:1:7117dcfa4f31,0.0158730159
hybrid_rag,Q03,chunk:GSE111619_series_matrix.txt:27:426a10e70046,0.0158730159
hybrid_rag,Q03,chunk:GSE111619_series_matrix.txt:26:683a178072a1,0.015625
hybrid_rag,Q03,chunk:gse111619_samples.csv:0:a333971634bd,0.0153846154
hybrid_rag,Q03,chunk:GSE111619_family.soft:2:012548a6835c,0.0151515152
hybrid_rag,Q03,chunk:GSE111619_family.soft:6:762f7f70cff7,0.0151515152
hybrid_rag,Q03,chunk:GSE111619_family.soft:21:341003aa6ae0,0.0149253731
hybrid_rag,Q03,chunk:GSE111619_family.soft:33:887d9b8483f9,0.0149253731
hybrid_rag,Q03,chunk:GSE111619_family.soft:28:42d7ef4e1753,0.0147058824
hybrid_rag,Q03,chunk:GSE111619_family.soft:9:318baf214f1d,0.0147058824
hybrid_rag,Q03,chunk:GSE111619_family.soft:5:5769fda80faf,0.0144927536
hybrid_rag,Q03,chunk:GSE111619_family.soft:7:e44acfaf8b21,0.0144927536
hybrid_rag,Q03,chunk:GSE111619_family.soft:13:fe8aa2f0ef20,0.0142857143
hybrid_rag,Q03,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,0.0142857143
hybrid_rag,Q03,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,0.014084507
graph_enhanced_rag,Q03,chunk:GSE111619_series_matrix.txt:0:bc80d80b6fb6,0.0163934426
graph_enhanced_rag,Q03,graph:b43578ce1b7a1a32,0.0163934426
graph_enhanced_rag,Q03,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.0161290323
graph_enhanced_rag,Q03,graph:fea2400baa268b47,0.0161290323
graph_enhanced_rag,Q03,chunk:GSE111619_series_matrix.txt:6:3a35853469b8,0.0158730159
graph_enhanced_rag,Q03,graph:c87e5018b10666f7,0.0158730159
graph_enhanced_rag,Q03,chunk:GSE111619_family.soft:0:80d433564abe,0.015625
graph_enhanced_rag,Q03,graph:1605ff02709efa11,0.015625
graph_enhanced_rag,Q03,chunk:GSE111619_series_matrix.txt:5:fabd5ef57162,0.0153846154
graph_enhanced_rag,Q03,graph:eb794b97303aa296,0.0153846154
graph_enhanced_rag,Q03,chunk:GSE111619_family.soft:1:7117dcfa4f31,0.0151515152
graph_enhanced_rag,Q03,graph:de882a523b64bc85,0.0151515152
graph_enhanced_rag,Q03,chunk:GSE111619_series_matrix.txt:27:426a10e70046,0.0149253731
graph_enhanced_rag,Q03,graph:eb0cdcc86c51f88a,0.0149253731
graph_enhanced_rag,Q03,chunk:GSE111619_series_matrix.txt:26:683a178072a1,0.0147058824
graph_enhanced_rag,Q03,graph:055494fc89b1c21b,0.0147058824
graph_enhanced_rag,Q03,chunk:gse111619_samples.csv:0:a333971634bd,0.0144927536
graph_enhanced_rag,Q03,graph:b855fdef3cdabdfa,0.0144927536
graph_enhanced_rag,Q03,chunk:GSE111619_family.soft:2:012548a6835c,0.0142857143
graph_enhanced_rag,Q03,graph:47b5fb0cd549561a,0.0142857143
bm25,Q04,chunk:GSE111619_series_matrix.txt:20:5999361ed2c6,6.489558415
bm25,Q04,chunk:GSE111619_series_matrix.txt:21:f1c4916c4d2a,6.451109268
bm25,Q04,chunk:GSE111619_series_matrix.txt:19:903126e9a116,5.2129529595
bm25,Q04,chunk:GSE111619_series_matrix.txt:1:437999cf07da,5.0831593167
bm25,Q04,chunk:GSE111619_family.soft:2:012548a6835c,4.9446566057
bm25,Q04,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,4.856439805
bm25,Q04,chunk:GSE111619_family.soft:17:d4009146977f,4.7852950898
bm25,Q04,chunk:GSE111619_family.soft:25:6c94819d4f06,4.7436000921
bm25,Q04,chunk:GSE111619_family.soft:32:fa5e23883aa9,4.7298627562
bm25,Q04,chunk:GSE111619_family.soft:10:af45eaa5686d,4.6358849855
bm25,Q04,chunk:GSE111619_family.soft:33:887d9b8483f9,4.6097162493
bm25,Q04,chunk:GSE111619_family.soft:3:d5c4e36fc6d1,4.3986640811
bm25,Q04,chunk:GSE111619_HTSeq_counts.txt:0:41d025abdeaa,0.0
bm25,Q04,chunk:GSE111619_HTSeq_counts.txt:100:23364a304d84,0.0
bm25,Q04,chunk:GSE111619_HTSeq_counts.txt:101:974f8ca28a15,0.0
bm25,Q04,chunk:GSE111619_HTSeq_counts.txt:102:831020591730,0.0
bm25,Q04,chunk:GSE111619_HTSeq_counts.txt:103:959629736e1e,0.0
bm25,Q04,chunk:GSE111619_HTSeq_counts.txt:104:6b75d48d1c61,0.0
bm25,Q04,chunk:GSE111619_HTSeq_counts.txt:105:997661cff060,0.0
bm25,Q04,chunk:GSE111619_HTSeq_counts.txt:106:5f435dce7fb9,0.0
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:756:039879213880,0.5590547871
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:85:dbb00248661e,0.5554029574
vector,Q04,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.5443841895
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:33:b1add906404f,0.5394598354
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:2:46c7063dd4d8,0.5393391087
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:620:8cb3aeef8d7c,0.5381232866
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:386:8b36ad1c173e,0.5378713784
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:295:260f02e96e2a,0.537470412
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:749:2b3a0018a2de,0.5368078817
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:415:0aaaa5b66748,0.5353486592
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:40:debf37a54447,0.5353033747
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:229:276a974a9b82,0.5350756594
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:678:ef489b792659,0.5348521816
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:333:05cce2562999,0.5347612491
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:409:0dd87904fe7b,0.5330158641
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:755:ed54669f9634,0.5325942505
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:748:0bf86de464b9,0.5325426063
vector,Q04,chunk:GSE111619_family.soft:33:887d9b8483f9,0.5305799007
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:118:821d9827f2ee,0.530242708
vector,Q04,chunk:GSE111619_HTSeq_counts.txt:414:17b75f9a9046,0.5300384215
hybrid_rag,Q04,chunk:GSE111619_family.soft:33:887d9b8483f9,0.0269050199
hybrid_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:105:997661cff060,0.0240218642
hybrid_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:756:039879213880,0.0163934426
hybrid_rag,Q04,chunk:GSE111619_series_matrix.txt:20:5999361ed2c6,0.0163934426
hybrid_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:85:dbb00248661e,0.0161290323
hybrid_rag,Q04,chunk:GSE111619_series_matrix.txt:21:f1c4916c4d2a,0.0161290323
hybrid_rag,Q04,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.0158730159
hybrid_rag,Q04,chunk:GSE111619_series_matrix.txt:19:903126e9a116,0.0158730159
hybrid_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:33:b1add906404f,0.015625
hybrid_rag,Q04,chunk:GSE111619_series_matrix.txt:1:437999cf07da,0.015625
hybrid_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:2:46c7063dd4d8,0.0153846154
hybrid_rag,Q04,chunk:GSE111619_family.soft:2:012548a6835c,0.0153846154
hybrid_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:620:8cb3aeef8d7c,0.0151515152
hybrid_rag,Q04,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,0.0151515152
hybrid_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:386:8b36ad1c173e,0.0149253731
hybrid_rag,Q04,chunk:GSE111619_family.soft:17:d4009146977f,0.0149253731
hybrid_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:295:260f02e96e2a,0.0147058824
hybrid_rag,Q04,chunk:GSE111619_family.soft:25:6c94819d4f06,0.0147058824
hybrid_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:749:2b3a0018a2de,0.0144927536
hybrid_rag,Q04,chunk:GSE111619_family.soft:32:fa5e23883aa9,0.0144927536
graph_enhanced_rag,Q04,chunk:GSE111619_family.soft:33:887d9b8483f9,0.0163934426
graph_enhanced_rag,Q04,graph:bd6c91e0552f902e,0.0163934426
graph_enhanced_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:105:997661cff060,0.0161290323
graph_enhanced_rag,Q04,graph:145b1abbe344e5e9,0.0161290323
graph_enhanced_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:756:039879213880,0.0158730159
graph_enhanced_rag,Q04,graph:527f711fb8e02cd5,0.0158730159
graph_enhanced_rag,Q04,chunk:GSE111619_series_matrix.txt:20:5999361ed2c6,0.015625
graph_enhanced_rag,Q04,graph:e9d5c9a296c3df31,0.015625
graph_enhanced_rag,Q04,chunk:GSE111619_HTSeq_counts.txt:85:dbb00248661e,0.0153846154
graph_enhanced_rag,Q04,graph:3ba039e109483e6d,0.0153846154
graph_enhanced_rag,Q04,chunk:GSE111619_series_matrix.txt:21:f1c4916c4d2a,0.0151515152
graph_enhanced_rag,Q04,graph:203299d356921bf6,0.0151515152
graph_enhanced_rag,Q04,chunk:GSE111619_family.soft:35:a3b6b9cab079,0.0149253731
graph_enhanced_rag,Q04,graph:73b34ad728b25bdc,0.0149253731
graph_enhanced_rag,Q04,chunk:GSE111619_series_matrix.txt:19:903126e9a116,0.0147058824
